Name,Provider,Building,Street,City,Postcode,Phone,Web,Email,Opening_times,Notes,Category,Longitude,Latitude,Source,Country
Short Street,Cambridge Cyrenians,,6 Short Street,Cambridge,CB1 1LB,,https://cambridgecyrenians.org.uk/accommodation-services/,,,8 units of supported living with full board; community based living; longer stay,Accommodation,0.12744,52.20741,Supported housing database,
Smoke Free Pregnancy and Beyond,North Cambridge Child and Family Centre,,Campkin Road,Cambridge,CB4 2LD,07747 026415,,,Tuesdays,No cost. The Stop Smoking clinic is appointment only. For more information or to book an appointment; please contact Bernadette Crosson on 07747 026415 ,Children & young people,0.12858,52.22626,CambsNet,
St Philip's Road,Cyrenians,,53 St Philips Road,Cambridge,CB1 3DA,,,,,4 units of homeless move-on; low support; singles only,Accommodation,0.15055,52.19849,Supported housing database,
Stanesfield Road,Cyrenians,,3 Stanesfield Road,Cambridge,CB5 8NH,,,,,Temporary accommodation; longer stay,Accommodation,0.15847,52.2101,Supported housing database,
Stay and Play,Bewick Bridge Community Primary School,,Fulbourn Old Drift,Cambridge,CB1 9ND,,,,Fridays 12:30 to 14:00,No cost. For families with children aged from 1 -3 years. A variety of play based activities and themes that change weekly. A great way to learn about your child’s development; enjoy time together and meet other parents. The activities are based around the Early Years Foundation Stage. ,Children & young people,0.18221,52.19012,CambsNet,
Stay and Play,St Luke's Church Centre,St Luke's Church Centre,Victoria Road ,Cambridge,CB4 3DZ,,,,Wednesdays 10:00 to 11:30,Costs £2.00. For families with children aged 5 and under. A variety of play based activities and themes that change weekly. A great way to learn about your child’s development; enjoy time together and meet other parents. The activities are based around the Early Years Foundation Stage.,Children & young people,0.11637,52.21579,CambsNet,
Stay and Play ,Centre at St Pauls,St Paul's Church,Hills Road,Cambridge,CB2 1JP,,,,Mondays 10:00 to 11:45,No cost. This is a Church and community volunteer led group with Child and Family Centre workers visiting monthly,Children & young people,0.12827,52.19772,CambsNet,
Stay and Play - ABC,Christ The Redeemer Church Community Wing ,Christ The Redeemer Church,Newmarket Road,Cambridge,CB5 8RS,,,,Fridays 09:15 to 11:15,£2.00 per family. For families with children aged 5 and under. A variety of play based activities and themes that change weekly. A great way to learn about your child’s development; enjoy time together and meet other parents. The activities are based around the Early Years Foundation Stage.,Children & young people,0.16753,52.21164,CambsNet,
Storytime,Arbury Court Library,,Arbury Court ,Cambridge,CB4 2JQ,,,,Thursdays 10:30 to 11:15,No cost. Bring your pre-schooler along for stories; rhymes and an activity; with support and resources from Cambridge City Child and Family Centre. Please ask us about Bookstart Bear Club! ,Children & young people,0.12785,52.22475,CambsNet,
The Springs,Riverside ECHG,,222 Victoria Road ,Cambridge,CB4 3LG,,https://www.riverside.org.uk/in-your-neighbourhood/cambridge-2/care-and-support/the-springs/,,,Adult foyer (temporary accommodation),Accommodation,0.11276,52.21545,Supported housing database,
Thorpe Way,CHS Group,,Thorpe Way,Cambridge,CB5 8UJ,,http://www.chsgroup.org.uk ,,,8 units of temporary accommodation with support for people with learning disability,Accommodation,0.17318,52.21455,Supported housing database,
Time Together ,Chesterton Child and Family Centre,Shirley Community Nursery And Primary School,Nuffield Road,Cambridge,CB4 1TF,,,,Wednesdays 13:00 to 14:30,No cost. Time Together gives support to parents of children who have additional needs. It’s an opportunity to meet other families in a small group; offering structured and fun play for the children. This group is by invitation only. If you or someone you know may be interested; contact us. ,Children & young people,0.15233,52.2274,CambsNet,
Tiny Tots,Chesterton Child and Family Centre,Shirley Community Nursery And Primary School,Nuffield Road,Cambridge,CB4 1TF,,,,Mondays 10:15 to 11:30,No cost. Parent led stay and play,Children & young people,0.15233,52.2274,CambsNet,
Toddler Swim,Kings Hedges Learner Pool,Jedburgh Court ,Buchan Street ,Cambridge,CB4 2XH,,,,Thursdays 11:00 to 11:30,Free swim (term time only) If you are registered with a Child and Family Centre; you can pick up a pass that entitles you to a free half hour swim at Kings Hedges Learner Pool. ,Children & young people,0.12207,52.23168,CambsNet,
Toddler Swim - Under 1's,Kings Hedges Learner Pool,Jedburgh Court ,Buchan Street ,Cambridge,CB4 2XH,,,,Fridays 11:30 to 12:00,Free Swim for Under 1's (term time only) If you are registered with a Child and Family Centre; you can pick up a pass that entitles you to a free half hour swim at Kings Hedges Learner Pool. ,Children & young people,0.12207,52.23168,CambsNet,
Toddler Swim - Under 3's,Kings Hedges Learner Pool,Jedburgh Court ,Buchan Street ,Cambridge,CB4 2XH,,,,Fridays 12:00 to 12:30,Free swim for Under 3's (term time only) If you are registered with a Child and Family Centre; you can pick up a pass that entitles you to a free half hour swim at Kings Hedges Learner Pool ,Children & young people,0.12207,52.23168,CambsNet,
Toy Library,Brown's Field Community Centre,,31A Green Street ,Cambridge,CB4 1RU,,,,First Wednesday of each month 14:00 to 16:00,£2.50 membership fee and £1 soft play entry. Toy borrowing and soft play,Children & young people,0.14693,52.22581,CambsNet,
Twins; Triplets and More,Chesterton Child and Family Centre,Shirley Community Nursery And Primary School,Nuffield Road,Cambridge,CB4 1TF,,,,Third Friday of each month 10:00 to 11:30,No cost. Come along for play and support; meet other mums and dads who understand the unique challenges of having twins and triplets. This is a parent led group,Children & young people,0.15233,52.2274,CambsNet,
Victoria Project,Riverside ECHG,,222 Victoria Road,Cambridge,CB4 3LG,,http://www.riverside.org.uk/corporate/our_services/care_and_support_services/victoria_road.aspx,,,30 units of temporary accommodation with support for ex-offenders,Accommodation,0.11276,52.21545,Supported housing database,
Wagstaff Close,CHS Group,,8b Wagstaff Close,Cambridge,CB4 2PS,,http://www.chsgroup.org.uk ,,,4 units of temporary accommodation with Suport for people with learning disability,Accommodation,0.13583,52.23117,Supported housing database,
Walnut Tree Avenue,Cambridge Cyrenians,,1 Walnut Tree Avenue,Cambridge,CB5 8JP,,https://cambridgecyrenians.org.uk/accommodation-services/,,,10 units of temporary accommodation with support for ex-offenders,Accommodation,0.13683,52.21022,Supported housing database,
Wednesdays Together,North Cambridge Child and Family Centre,,Campkin Road,Cambridge,CB4 2LD,,,,Wednesdays,No cost. 10:00 to 12.30 Stay and Play for Under 3's; 13:00 to 15:00 Stay and Play for non-walking babies; For local families in CB4 area only; due to space restrictions. Both groups are run by Kings Hedges Family Support Project (KHFSP) ,Children & young people,0.12858,52.22626,CambsNet,
Well Baby Clinic,The Peacock Centre,Brookfields Hospital,351 Mill Road,Cambridge ,CB1 3DF,,,,Wednesdays 14:00 to 15:30,No cost. Staff from the Health Visiting team will be present to weigh your baby and offer advice about feeding; behaviour and minor illnesses as well as reassurance and support to parents.,Children & young people,0.1508,52.19712,CambsNet,
Well Baby Clinic,Bewick Bridge Community Primary School,,Fulbourn Old Drift,Cambridge,CB1 9ND,,,,Thursdays 9:30 to 11:00,No cost. Staff from the Health Visiting team will be present to weigh your baby and offer advice about feeding; behaviour and minor illnesses as well as reassurance and support to parents. ,Children & young people,0.18221,52.19012,CambsNet,
Well Baby Clinic,Fawcett Primary School,Fawcett Primary School,Trumpington ,Cambridge,CB2 9FS,,,,Mondays 13:00 to 14:30,No cost. Staff from the Health Visiting team will be present to weigh your baby and offer advice about feeding; behaviour and minor illnesses as well as reassurance and support to parents. Sometimes referred to as Well Baby Clinic,Children & young people,0.11836,52.17715,CambsNet,
Well Baby Clinic,North Cambridge Child and Family Centre,,Campkin Road,Cambridge,CB4 2LD,,,,Mondays 13:30 to 15:00,No cost. Staff from the Health Visiting team will be present to weigh your baby and offer advice about feeding; behaviour and minor illnesses as well as reassurance and support to parents.,Children & young people,0.12858,52.22626,CambsNet,
Well Child Clinic,The Fields Child and Family Centre,,Galfrid Road,Cambridge ,CB5 8ND,,,,Tuesdays 13:00 to 14:30,No cost. Staff from the Health Visiting team will be present to give advice about feeding; behaviour and minor illnesses as well as reassurance and support to parents. Parents and carers are all welcome with their children. ,Children & young people,0.16086,52.20812,CambsNet,
Whitworth House,Orwell Housing Association,,109 Chesterton Road,Cambridge,CB4 3AR,,,,,15 units of temporary accommodation; women only,Accommodation,0.12258,52.21384,Supported housing database,
Young Parents' Group,North Cambridge Child and Family Centre,,Campkin Road,Cambridge,CB4 2LD,,,,Mondays 10:30 to 12:00,No cost. This group gives you the opportunity for young parents to play with your child and meet other parents through a variety of fun activities including messy play; arts/crafts and music sessions. Come along; enjoy some brunch; have some fun and help us to shape opportunities for young parents.,Children & young people,0.12858,52.22626,CambsNet,
